Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Poncho English;0,32;14;300;0,0467;0,23;3,21;2,8;7;0;0;0,00;0
Sweater Women English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;7;0;0;0,00;0
Sweater English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0;6;0;0;0,00;0
Ruana English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,28;2;15;0,1333;0,16;0,32;1,2; --;0;0;0,00;0
Poncho English;0,2;0;16;0;0;0;1,6;9;0;0;0,00;0
Scarf English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,09;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;14;259;0,0541;0,08;1,11;1,1;6;0;0;0,00;0
Poncho English;0,43;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,14;0;1;0;0;0;1; --;0;0;0,00;0
Sweater English;1;8;150;0,0533;0,5;4,03;1,6;9;0;0;0,00;0
Peruvian Alpaca Clothing English;0,17;0;4;0;0;0;2;5;0;0;0,00;0
Sweater English;0,35;4;97;0,0412;0,28;1,12;2,4;9;0;0;0,00;0
Ruana English;0,26;1;78;0,0128;0,01;0,01;1,1;6;0;0;0,00;0
Scarf English;0,35;0;51;0;0;0;1,2; --;0;0;0,00;0
Poncho English;0,28;2;7;0,2857;0,04;0,09;1;9;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,46;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;1;26;0,0385;0,07;0,07;3,3;7;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Toddlers English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,26;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,51;0;6;0;0;0;1; --;0;0;0,00;0
Bolivian Alpaca English;0,11;1;3;0,3333;0,09;0,09;3;6;0;0;0,00;0
Scarf English;0,26;1;3;0,3333;0,12;0,12;2,7; --;0;0;0,00;0
Kids English;0,02;0;13;0;0;0;1,2; --;0;0;0,00;0
Evo sweater English;0,04;0;4;0;0;0;5; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,35;1;25;0,04;0,18;0,18;2,4;4;0;0;0,00;0
Alpaca Generic English;0,14;11;274;0,0401;0,08;0,91;3;7;0;0;0,00;0
Poncho English;0,49;3;252;0,0119;0,25;0,75;2,2;7;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,21;0;0;0;0;0;0;8;0;0;0,00;0
Peruvian Alpaca Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
